,PERMNO,Names Date,Standard Industrial Classification Code,Ticker Symbol,Company Name,Price or Bid/Ask Average,Returns,Returns without Dividends,Return on the S&P 500 Index,subset
0,10107,20120131,7370,MSFT,MICROSOFT CORP,29.53,0.137519,0.137519,0.043583,False
1,10107,20120229,7370,MSFT,MICROSOFT CORP,31.74,0.081612,0.074839,0.040589,False
2,10107,20120330,7370,MSFT,MICROSOFT CORP,32.255,0.016226,0.016226,0.031332,False
3,10107,20120430,7370,MSFT,MICROSOFT CORP,32.015,-0.007441,-0.007441,-0.007497,False
4,10107,20120531,7370,MSFT,MICROSOFT CORP,29.19,-0.081993,-0.08824,-0.062651,False
5,10107,20120629,7370,MSFT,MICROSOFT CORP,30.59,0.047962,0.047962,0.039555,False
6,10107,20120731,7370,MSFT,MICROSOFT CORP,29.47,-0.036613,-0.036613,0.012598,False
7,10107,20120831,7370,MSFT,MICROSOFT CORP,30.82,0.052596,0.045809,0.019763,False
8,10107,20120928,7370,MSFT,MICROSOFT CORP,29.76,-0.034393,-0.034393,0.024236,False
9,10107,20121031,7370,MSFT,MICROSOFT CORP,28.54,-0.040995,-0.040995,-0.019789,False
10,10107,20121130,7370,MSFT,MICROSOFT CORP,26.615,-0.05939,-0.067449,0.002847,False
11,10107,20121231,7370,MSFT,MICROSOFT CORP,26.7097,0.003558,0.003558,0.007068,False
12,10107,20130131,7370,MSFT,MICROSOFT CORP,27.45,0.027717,0.027717,0.050428,False
13,10107,20130228,7370,MSFT,MICROSOFT CORP,27.8,0.021129,0.01275,0.011061,False
14,10107,20130328,7370,MSFT,MICROSOFT CORP,28.605,0.028957,0.028957,0.035988,False
15,10107,20130430,7370,MSFT,MICROSOFT CORP,33.1,0.15714,0.15714,0.018086,False
16,10107,20130531,7370,MSFT,MICROSOFT CORP,34.9,0.061329,0.054381,0.020763,False
17,10107,20130628,7370,MSFT,MICROSOFT CORP,34.545,-0.010172,-0.010172,-0.014999,False
18,10107,20130731,7370,MSFT,MICROSOFT CORP,31.84,-0.078304,-0.078304,0.049462,False
19,10107,20130830,7370,MSFT,MICROSOFT CORP,33.4,0.056219,0.048995,-0.031298,False
20,10107,20130930,7370,MSFT,MICROSOFT CORP,33.28,-0.003593,-0.003593,0.029749,False
21,10107,20131031,7370,MSFT,MICROSOFT CORP,35.405,0.063852,0.063852,0.044596,False
22,10107,20131129,7370,MSFT,MICROSOFT CORP,38.13,0.084875,0.076967,0.028049,False
23,10107,20131231,7370,MSFT,MICROSOFT CORP,37.41,-0.018883,-0.018883,0.023563,False
